FECHA,HORA,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
2024-01-01,1,-99,0,-99,1,-99,4,7,3,-99,3,3,5,-99,18,-99,14,-99,-99,20,3,-99,-99,-99,2,23,3,-99,-99,2,2,12,-99,12,26,43
2024-01-01,2,-99,0,-99,3,-99,29,5,9,-99,2,4,30,-99,22,-99,28,-99,-99,41,36,-99,-99,-99,1,33,12,-99,-99,5,19,15,-99,14,49,49
2024-01-01,3,-99,0,-99,13,-99,37,19,35,-99,3,4,29,-99,26,-99,29,-99,-99,83,27,-99,-99,-99,-99,55,44,-99,-99,18,16,43,-99,31,62,92
2024-01-01,4,-99,0,-99,8,-99,34,12,41,-99,2,2,14,-99,17,-99,42,-99,-99,62,28,-99,-99,-99,-99,84,40,-99,-99,12,5,30,-99,49,48,55
2024-01-01,5,-99,0,-99,5,-99,34,5,14,-99,2,2,8,-99,9,-99,32,-99,-99,47,20,-99,-99,-99,-99,51,65,-99,-99,21,2,31,-99,27,50,67
2024-01-01,6,-99,0,-99,7,-99,32,3,44,-99,1,2,4,-99,11,-99,34,-99,-99,94,26,-99,-99,-99,6,73,19,-99,-99,27,2,38,-99,18,85,91
2024-01-01,7,-99,0,-99,8,-99,31,15,66,-99,1,1,8,-99,26,-99,51,-99,-99,87,56,-99,-99,-99,2,87,20,-99,-99,15,3,24,-99,41,51,111
2024-01-01,8,-99,0,-99,8,-99,27,16,96,-99,2,1,10,-99,53,-99,65,-99,-99,147,36,-99,-99,-99,12,90,45,-99,-99,13,5,45,-99,69,36,74
2024-01-01,9,-99,4,-99,17,-99,15,15,27,-99,3,2,15,-99,76,-99,-99,-99,-99,134,25,-99,-99,-99,11,60,58,-99,-99,17,15,30,-99,33,23,64
2024-01-01,10,-99,6,-99,11,-99,5,15,-99,-99,1,5,10,-99,40,-99,18,-99,-99,50,24,-99,-99,-99,8,22,14,-99,-99,8,26,6,-99,13,7,24
